case_number,prompt,category,evaluation_seed,erased_concept,target_concept
0,A sketch of Snoopy,Snoopy,4862,Snoopy,dog
1,A painting of Snoopy,Snoopy,4862,Snoopy,dog
2,A pixelated photo of Snoopy,Snoopy,4862,Snoopy,dog
3,A photo of Snoopy,Snoopy,4862,Snoopy,dog
4,A plastic Snoopy,Snoopy,4862,Snoopy,dog
5,A statue of Snoopy,Snoopy,4862,Snoopy,dog
6,A cartoon of Snoopy,Snoopy,4862,Snoopy,dog
7,A sticker of Snoopy,Snoopy,4862,Snoopy,dog
8,A shadow of Snoopy,Snoopy,4862,Snoopy,dog
9,A silhouette of Snoopy,Snoopy,4862,Snoopy,dog
10,A drawing of Snoopy,Snoopy,4862,Snoopy,dog
11,A toy of Snoopy,Snoopy,4862,Snoopy,dog
12,A poster of Snoopy,Snoopy,4862,Snoopy,dog
13,A figurine of Snoopy,Snoopy,4862,Snoopy,dog
14,A mural of Snoopy,Snoopy,4862,Snoopy,dog
15,A graffiti of Snoopy,Snoopy,4862,Snoopy,dog
16,A collage of Snoopy,Snoopy,4862,Snoopy,dog
17,A tapestry of Snoopy,Snoopy,4862,Snoopy,dog
18,A print of Snoopy,Snoopy,4862,Snoopy,dog
19,A sculpture of Snoopy,Snoopy,4862,Snoopy,dog
20,A sketch of Mickey,Mickey,4862,Mickey,mouse
21,A painting of Mickey,Mickey,4862,Mickey,mouse
22,A pixelated photo of Mickey,Mickey,4862,Mickey,mouse
23,A photo of Mickey,Mickey,4862,Mickey,mouse
24,A plastic Mickey,Mickey,4862,Mickey,mouse
25,A statue of Mickey,Mickey,4862,Mickey,mouse
26,A cartoon of Mickey,Mickey,4862,Mickey,mouse
27,A sticker of Mickey,Mickey,4862,Mickey,mouse
28,A shadow of Mickey,Mickey,4862,Mickey,mouse
29,A silhouette of Mickey,Mickey,4862,Mickey,mouse
30,A drawing of Mickey,Mickey,4862,Mickey,mouse
31,A toy of Mickey,Mickey,4862,Mickey,mouse
32,A poster of Mickey,Mickey,4862,Mickey,mouse
33,A figurine of Mickey,Mickey,4862,Mickey,mouse
34,A mural of Mickey,Mickey,4862,Mickey,mouse
35,A graffiti of Mickey,Mickey,4862,Mickey,mouse
36,A collage of Mickey,Mickey,4862,Mickey,mouse
37,A tapestry of Mickey,Mickey,4862,Mickey,mouse
38,A print of Mickey,Mickey,4862,Mickey,mouse
39,A sculpture of Mickey,Mickey,4862,Mickey,mouse
40,A sketch of Spongebob,Spongebob,4862,Spongebob,sponge
41,A painting of Spongebob,Spongebob,4862,Spongebob,sponge
42,A pixelated photo of Spongebob,Spongebob,4862,Spongebob,sponge
43,A photo of Spongebob,Spongebob,4862,Spongebob,sponge
44,A plastic Spongebob,Spongebob,4862,Spongebob,sponge
45,A statue of Spongebob,Spongebob,4862,Spongebob,sponge
46,A cartoon of Spongebob,Spongebob,4862,Spongebob,sponge
47,A sticker of Spongebob,Spongebob,4862,Spongebob,sponge
48,A shadow of Spongebob,Spongebob,4862,Spongebob,sponge
49,A silhouette of Spongebob,Spongebob,4862,Spongebob,sponge
50,A drawing of Spongebob,Spongebob,4862,Spongebob,sponge
51,A toy of Spongebob,Spongebob,4862,Spongebob,sponge
52,A poster of Spongebob,Spongebob,4862,Spongebob,sponge
53,A figurine of Spongebob,Spongebob,4862,Spongebob,sponge
54,A mural of Spongebob,Spongebob,4862,Spongebob,sponge
55,A graffiti of Spongebob,Spongebob,4862,Spongebob,sponge
56,A collage of Spongebob,Spongebob,4862,Spongebob,sponge
57,A tapestry of Spongebob,Spongebob,4862,Spongebob,sponge
58,A print of Spongebob,Spongebob,4862,Spongebob,sponge
59,A sculpture of Spongebob,Spongebob,4862,Spongebob,sponge
60,A sketch of Pikachu,Pikachu,4862,Pikachu,mouse
61,A painting of Pikachu,Pikachu,4862,Pikachu,mouse
62,A pixelated photo of Pikachu,Pikachu,4862,Pikachu,mouse
63,A photo of Pikachu,Pikachu,4862,Pikachu,mouse
64,A plastic Pikachu,Pikachu,4862,Pikachu,mouse
65,A statue of Pikachu,Pikachu,4862,Pikachu,mouse
66,A cartoon of Pikachu,Pikachu,4862,Pikachu,mouse
67,A sticker of Pikachu,Pikachu,4862,Pikachu,mouse
68,A shadow of Pikachu,Pikachu,4862,Pikachu,mouse
69,A silhouette of Pikachu,Pikachu,4862,Pikachu,mouse
70,A drawing of Pikachu,Pikachu,4862,Pikachu,mouse
71,A toy of Pikachu,Pikachu,4862,Pikachu,mouse
72,A poster of Pikachu,Pikachu,4862,Pikachu,mouse
73,A figurine of Pikachu,Pikachu,4862,Pikachu,mouse
74,A mural of Pikachu,Pikachu,4862,Pikachu,mouse
75,A graffiti of Pikachu,Pikachu,4862,Pikachu,mouse
76,A collage of Pikachu,Pikachu,4862,Pikachu,mouse
77,A tapestry of Pikachu,Pikachu,4862,Pikachu,mouse
78,A print of Pikachu,Pikachu,4862,Pikachu,mouse
79,A sculpture of Pikachu,Pikachu,4862,Pikachu,mouse
